Rk,PFF Name,displayName,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb▼,Solo,Ast,TFL,QBHits,Sfty
39,Quincy Williams,Quincy Williams,NYJ,26,LB,15,15,0,0,0,0,0.07,,,,,0,0.2,7.07,4.93,2.13,0.8,0.4,
40,Brandon Jones,Brandon Jones,MIA,24,S,7,7,0,0,0,0,0.43,0.14,0,0,0,0,0.29,7,3.71,3.29,0.14,0.29,
41,Ja'Quan McMillian,Ja'Quan McMillian,DEN,22,CB,1,1,,,0,,,,,,,0,0,7,6,1,0,0,
42,Jaquan Brisker,Jaquan Brisker,CHI,23,DB,15,15,0.07,0.4,0,6,0.13,0.07,0,1,0,0,0.27,6.93,4.87,2.07,0.33,0.27,
43,Myles Jack,Myles Jack,PIT,27,LB,15,13,0,0,0,0,0.2,,,,,0,0,6.93,4.07,2.87,0.2,0.07,
44,Kamren Curl,Kamren Curl,WAS,23,S,12,12,,,0,,,,,,,0,0.08,6.92,4.83,2.08,0.5,0,
45,Denzel Perryman,Denzel Perryman,LVR,30,LB,12,11,0.17,4,0,24,0.17,,,,,0,0.08,6.92,4.5,2.42,1.17,0.42,
46,Patrick Queen,Patrick Queen,BAL,23,LB,17,17,0.12,0.65,0,11,0.35,0.06,0,2,5,0,0.29,6.88,4.65,2.24,0.53,0.82,
47,DeShon Elliott,DeShon Elliott,DET,25,S,14,13,0.07,0,0,0,0.21,0.07,0,1,0,0,0,6.86,5.21,1.64,0.36,0.21,
48,Nicholas Morrow,Nicholas Morrow,CHI,27,LB,17,17,0.06,0.29,0,5,0.12,,,,,0,0,6.82,4.88,1.94,0.65,0,
49,Rayshawn Jenkins,Rayshawn Jenkins,JAX,28,S,17,17,0.18,3.76,0.06,52,0.71,0.18,0,0,0,0,0.06,6.82,4.29,2.53,0.18,0.12,
50,Willie Gay Jr.,Willie Gay,KAN,24,LB,13,13,0.08,3.62,0.08,47,0.62,0,0,1,0,0,0.19,6.77,3.92,2.85,0.69,0.31,
51,Jaylon Smith,Jaylon Smith,NYG,27,LB,13,11,,,0,,,0,0,1,4,0,0.08,6.77,3.54,3.23,0.23,0.15,
52,Devin Lloyd,Devin Lloyd,JAX,24,LB,17,15,0.18,2.47,0,19,0.47,0,0,2,28,0,0,6.76,3.47,3.29,0,0.12,
53,Ernest Jones,Ernest Jones,LAR,23,LB,17,11,0.06,0,0,0,0.12,0.06,0,0,0,0,0,6.71,3.88,2.82,0.24,0.06,
54,Mykal Walker,Mykal Walker,ATL,25,LB,16,12,0.13,2.06,0,21,0.38,,,,,0,0.06,6.69,3.5,3.19,0.25,0.06,
55,Eddie Jackson,Eddie Jackson,CHI,29,DB,12,12,0.33,3.67,0,26,0.5,0.17,0,0,0,0,0,6.67,4.92,1.75,0.08,0,
56,Pete Werner,Pete Werner,NOR,23,LB,12,11,0,0,0,0,0.25,0.17,0,0,0,0,0,6.67,4.67,2,0.25,0,
57,Tracy Walker,Tracy Walker,DET,27,S,3,3,0,0,0,0,0.33,,,,,0,0.33,6.67,3.67,3,0.33,0.33,
58,Matt Milano*+,Matt Milano,BUF,28,LB,15,15,0.2,5.6,0.07,43,0.73,0,0,2,0,0,0.1,6.6,4.8,1.8,0.8,0.47,
59,Germaine Pratt,Germaine Pratt,CIN,26,LB,15,15,0.13,0.2,0,3,0.67,0.07,0,1,-8,0,0.07,6.6,3.33,3.27,0.4,0.07,
60,Jacob Phillips,Jacob Phillips,CLE,23,LB,7,4,0,0,0,0,0.14,,,,,0,0.29,6.57,4.14,2.43,0.29,0.29,
61,Nate Hobbs,Nate Hobbs,LVR,23,CB,11,11,0,0,0,0,0.36,0.09,0,1,7,0,0.09,6.55,5.18,1.36,0.27,0.09,
62,Jamin Davis,Jamin Davis,WAS,24,LB,16,15,0,0,0,0,0.06,0,0,2,0,0,0.19,6.5,4.25,2.25,0.56,0.31,
63,Jalen Thompson,Jalen Thompson,ARI,24,S,17,17,0.06,0,0,0,0.47,0,0,1,0,0,0,6.47,4.65,1.82,0.06,0.06,
64,Kyzir White,Kyzir White,PHI,26,LB,17,8,0,0,0,0,0.41,,,,,0,0.09,6.47,3.88,2.59,0.18,0.18,
65,Leighton Vander Esch,Leighton Vander Esch,DAL,26,LB,14,14,0,0,0,0,0.07,0.07,0,0,0,0,0.07,6.43,3.86,2.57,0.29,0.07,
66,Demario Davis*,Demario Davis,NOR,33,LB,17,17,0.06,0.24,0,4,0.35,0,0,1,0,0,0.38,6.41,3.18,3.24,0.59,0.47,
67,Minkah Fitzpatrick*+,Minkah Fitzpatrick,PIT,26,S,15,15,0.4,6.27,0.07,34,0.73,,,,,0,0,6.4,3.73,2.67,0.07,0.07,
68,Jeremy Chinn,Jeremy Chinn,CAR,24,S,11,11,0,0,0,0,0.55,,,,,0,0.09,6.36,4.64,1.73,0.18,0.09,
69,Jeremiah Owusu-Koramoah,Jeremiah Owusu-Koramoah,CLE,23,LB,11,10,0,0,0,0,0.36,0.18,0,0,0,0,0,6.36,4.09,2.27,0.64,0.09,
70,L'Jarius Sneed,L'Jarius Sneed,KAN,25,CB,17,17,0.18,3.35,0,26,0.65,0.18,0,1,5,0,0.21,6.35,4.41,1.94,0.29,0.29,
71,Kevin Byard,Kevin Byard,TEN,29,S,17,17,0.24,3.35,0,28,0.35,,,,,0,0,6.35,4.06,2.29,0,0.06,
72,Mike Edwards,Mike Edwards,TAM,26,S,13,12,0.15,5.08,0.08,68,0.23,,,,,0,0.08,6.31,4,2.31,0.23,0.15,
73,Elandon Roberts,Elandon Roberts,MIA,28,LB,17,17,,,0,,,,,,,0,0.26,6.29,4,2.29,0.59,0.35,
74,Zaven Collins,Zaven Collins,ARI,23,LB,16,16,0.06,1.88,0.06,30,0.38,0.06,0,0,0,0,0.13,6.25,3.94,2.31,0.69,0.25,
75,Grant Delpit,Grant Delpit,CLE,24,S,17,16,0.24,2.12,0,40,0.59,,,,,0,0,6.18,4.24,1.94,0.24,0,
76,Christian Harris,Christian Harris,HOU,21,LB,12,11,0.08,1.67,0,20,0.42,0.08,0,0,0,0,0.08,6.17,3.83,2.33,0.5,0.25,
77,Antoine Winfield Jr.,Antoine Winfield Jr.,TAM,24,S,13,13,0.08,1.15,0,15,0.23,0.08,0,0,0,0,0.31,6.15,4.92,1.23,0.54,0.46,
78,Marcus Williams,Marcus Williams,BAL,26,S,10,10,0.4,3.3,0,33,0.8,0,0,1,0,0,0,6.1,4.4,1.7,0.2,0,
79,Harrison Smith,Harrison Smith,MIN,33,S,14,14,0.36,4.14,0,35,0.71,0.07,0,0,0,0,0,6.07,4.71,1.36,0.07,0,
80,Damar Hamlin,Damar Hamlin,BUF,24,S,15,13,0,0,0,0,0.13,0.07,0,0,0,0,0.1,6.07,4.2,1.87,0.4,0.2,
81,Adrian Amos,Adrian Amos,GNB,29,S,17,17,0.06,1.53,0,26,0.29,0,0,1,-1,0,0.06,6,4.29,1.71,0.41,0.12,
82,Marcus Maye,Marcus Maye,NOR,29,S,10,10,0,0,0,0,0.2,0.1,0,0,0,0,0,6,4.2,1.8,0,0,
83,Tyler Coyle,Tyler Coyle,DAL,24,S,1,0,,,0,,,,,,,0,0,6,4,2,0,0,
84,Gregory Junior,Gregory Junior,JAX,23,CB,1,0,,,0,,,,,,,0,0,6,4,2,0,0,
