Rk,PFF Name,displayName,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb▼,Solo,Ast,TFL,QBHits,Sfty
171,Jourdan Lewis,Jourdan Lewis,DAL,27,CB,6,4,0.17,0,0,0,0.17,,,,,0,0.17,4.33,2.83,1.5,0,0,
172,Anthony Walker,Anthony Walker,CLE,27,LB,3,3,0,0,0,0,0.67,,,,,0,0,4.33,2.33,2,1.33,0,
173,Jonathan Jones,Jonathan Jones,NWE,29,DB,16,16,0.25,5.56,0.06,55,0.69,0.19,0,0,0,0,0,4.31,3.5,0.81,0,0,
174,Mike Hilton,Mike Hilton,CIN,28,CB,14,4,0.07,0.36,0,5,0.43,,,,,0,0,4.29,3.43,0.86,0.29,0.29,
175,Dylan Cole,Dylan Cole,TEN,28,LB,15,8,0,0,0,0,0.07,,,,,0,0.07,4.27,2.8,1.47,0.27,0.07,
176,Dexter Lawrence*,Dexter Lawrence,NYG,25,DL,16,16,0,0,0,0,0.19,0.13,0,0,0,0,0.47,4.25,2.19,2.06,0.44,1.75,
177,B.J. Hill,B.J. Hill,CIN,27,DT,16,16,0,0,0,0,0.25,0.06,0,3,0,0,0.19,4.25,1.88,2.38,0.25,0.69,
178,A'Shawn Robinson,A'Shawn Robinson,LAR,27,DT,10,10,,,0,,,,,,,0,0,4.2,2.2,2,0.2,0.3,
179,Caden Sterns,Caden Sterns,DEN,23,S,5,3,0.4,5,0,23,0.8,,,,,0,0,4.2,2.8,1.4,0,0,
180,Devin McCourty,Devin McCourty,NWE,35,DB,17,17,0.24,3.88,0,36,0.47,0,0,1,0,0,0,4.18,3.18,1,0,0,
181,Marlon Humphrey*,Marlon Humphrey,BAL,26,CB,17,17,0.18,1.53,0,26,0.41,0.06,0,2,0,0,0.18,4.18,3.12,1.06,0.18,0.24,
182,Quandre Diggs*,Quandre Diggs,SEA,29,FS,17,17,0.24,4.12,0,27,0.41,0.06,0,0,0,0,0,4.18,2.94,1.24,0.06,0.06,
183,Jimmie Ward,Jimmie Ward,SFO,31,DB,12,5,0.25,0,0,0,0.42,0.08,0,0,0,0,0,4.17,3.17,1,0.08,0.17,
184,Marco Wilson,Marco Wilson,ARI,23,CB,14,13,0.21,5.5,0.07,39,0.71,0.07,0,0,0,0,0,4.14,3.14,1,0.14,0.07,
185,Anthony Barr,Anthony Barr,DAL,30,LB,14,10,0,0,0,0,0.07,0,0,2,0,0,0.07,4.14,2.5,1.64,0.14,0.29,
186,Marshon Lattimore,Marshon Lattimore,NOR,26,CB,7,7,0.14,1.71,0.14,12,0.57,,,,,0,0,4.14,2.86,1.29,0,0,
187,Josh Bynes,Josh Bynes,BAL,33,LB,7,7,0.14,0,0,0,0.29,,,,,0,0.14,4.14,2.71,1.43,0.29,0.14,
188,Stephon Gilmore,Stephon Gilmore,IND,32,CB,16,16,0.13,1.94,0,31,0.69,,,,,0,0,4.13,3.31,0.81,0,0,
189,Cameron Jordan*,Cameron Jordan,NOR,33,DE,16,16,0,0,0,0,0.13,0.13,0,0,0,0,0.53,4.13,2.5,1.63,0.81,0.81,
190,Tyson Campbell,Tyson Campbell,JAX,22,CB,17,17,0.18,1.88,0,29,0.88,0.06,0,2,12,1,0,4.12,3.24,0.88,0.12,0,
191,Coby Bryant,Coby Bryant,SEA,23,CB,17,6,0,0,0,0,0.24,0.24,0,0,0,0,0.12,4.12,3.06,1.06,0.24,0.24,
192,Myles Bryant,Myles Bryant,NWE,24,DB,17,6,0.06,0.65,0,11,0.35,0,0.06,1,0,0,0,4.12,2.65,1.47,0,0,
193,Grover Stewart,Grover Stewart,IND,29,DT,17,17,0,0,0,0,0.18,0,0,1,0,0,0.24,4.12,2.59,1.53,0.53,0.41,
194,Zach Sieler,Zach Sieler,MIA,27,DT,17,15,0,0,0,0,0.24,0.12,0,0,0,0,0.21,4.12,2.41,1.71,0.41,0.71,
195,Ben Niemann,Ben Niemann,ARI,27,LB,17,9,0,0,0,0,0.06,0,0,1,0,0,0,4.12,2.24,1.88,0.12,0.06,
196,Logan Ryan,Logan Ryan,TAM,31,S,9,6,0.11,0,0,0,0.33,0.11,0,1,0,0,0,4.11,2.67,1.44,0.11,0,
197,Tavierre Thomas,Tavierre Thomas,HOU,26,DB,10,6,0,0,0,0,0.1,0.2,0,0,0,0,0,4.1,2.3,1.8,0.1,0,
198,Rock Ya-Sin,Rock Ya-Sin,LVR,26,CB,11,9,0,0,0,0,0.64,,,,,0,0,4.09,3.36,0.73,0,0.09,
199,Jaycee Horn,Jaycee Horn,CAR,23,CB,13,13,0.23,3.77,0,31,0.54,,,,,0,0,4.08,2.85,1.23,0.15,0.08,
200,Joe Thomas,Joe Thomas,CHI,31,LB,15,9,0,0,0,0,0.13,0,0,1,0,0,0.07,4.07,2.33,1.73,0.27,0.07,
201,Lamarcus Joyner,Lamarcus Joyner,NYJ,32,S,14,14,0.21,2.21,0,27,0.43,0,0,1,1,0,0,4.07,2.14,1.93,0,0.14,
202,Damarri Mathis,Damarri Mathis,DEN,23,CB,16,11,0,0,0,0,0.44,,,,,0,0,4.06,3.38,0.69,0.06,0,
203,Jonathan Allen*,Jonathan Allen,WAS,27,DT,16,16,0.06,0.06,0,1,0.19,0.13,0,0,0,0,0.47,4.06,2.75,1.31,1,1.06,
204,Kwon Alexander,Kwon Alexander,NYJ,28,LB,17,12,0,0,0,0,0.06,0.06,0,0,0,0,0.03,4.06,2.47,1.59,0.35,0.12,
205,Troy Andersen,Troy Andersen,ATL,23,LB,17,5,0,0,0,0,0.06,0.06,0,0,0,0,0,4.06,2.35,1.71,0.18,0.18,
206,Jahlani Tavai,Jahlani Tavai,NWE,26,MLB,17,12,0,0,0,0,0.12,,,,,0,0.09,4.06,2.18,1.88,0.12,0.24,
207,Johnathan Abram,Johnathan Abram,3TM,26,,15,8,0,0,0,0,0.2,,,,,0,0,4,2.8,1.2,0,0.13,
208,Eric Rowe,Eric Rowe,MIA,30,S,14,6,0,0,0,0,0.14,0.14,0,0,0,0,0.14,4,3,1,0.29,0.14,
209,Sam Hubbard,Sam Hubbard,CIN,27,DE,15,15,0,0,0,0,0.2,0.07,0,0,0,0,0.43,4,2.27,1.73,0.73,1.47,
210,Byron Murphy,Byron Murphy,ARI,24,CB,9,9,0,0,0,0,0.44,0,0,2,59,1,0.06,4,3.22,0.78,0.33,0.11,
211,Trent McDuffie,Trent McDuffie,KAN,22,CB,11,11,0,0,0,0,0.64,0.09,0,0,0,0,0.09,4,2.55,1.45,0.09,0.09,
212,Deion Jones,Deion Jones,CLE,28,MLB,11,5,0.09,0.45,0,5,0.27,0.09,0,0,0,0,0.23,4,2.27,1.73,0.55,0.27,
213,Rashad Fenton,Rashad Fenton,2TM,25,CB/DB,7,6,0,0,0,0,0.29,,,,,0,0,4,3,1,0,0,
214,Zach Cunningham,Zach Cunningham,TEN,28,LB,6,6,0,0,0,0,0.17,,,,,0,0,4,2.5,1.5,0,0,
215,William Jackson III,William Jackson III,WAS,30,CB,4,4,0,0,0,0,0.5,,,,,0,0,4,3.75,0.25,0.25,0,
216,Jace Whittaker,Jace Whittaker,ARI,27,CB,6,4,0,0,0,0,0.5,,,,,0,0,4,2.5,1.5,0,0,
217,Juston Burris,Juston Burris,CAR,29,S,5,3,0,0,0,0,0.2,,,,,0,0,4,2.4,1.6,0,0,
218,Jordan Fuller,Jordan Fuller,LAR,24,DB,3,1,,,0,,,0.33,0,0,0,0,0,4,3,1,0,0,
219,Josh Norman,Josh Norman,CAR,35,CB,2,1,,,0,,,,,,,0,0,4,3,1,0,0,
220,Greg Stroman,Greg Stroman,CHI,26,DB,2,1,0.5,5,0,10,0.5,,,,,0,0,4,2,2,0,0,
221,Vernon Butler,Vernon Butler,NYG,28,DL,1,0,,,0,,,,,,,0,0,4,2,2,0,0,
222,Marvin Wilson,Marvin Wilson,PHI,24,DT,1,0,,,0,,,,,,,0,0,4,2,2,0,0,
223,Rayshad Nichols,Rayshad Nichols,BAL,23,DT,1,0,,,0,,,,,,,0,0,4,1,3,0,0,
224,T.J. Smith,T.J. Smith,MIN,25,DT,1,0,,,0,,,,,,,0,0,4,1,3,1,0,
225,Brian Burns*,Brian Burns,CAR,24,DE,16,16,0,0,0,0,0.19,0.06,0,0,0,0,0.78,3.94,2.13,1.81,1.06,1.38,
226,Derrick Brown,Derrick Brown,CAR,24,DT,17,17,0.06,0,0,0,0.41,,,,,0,0.06,3.94,1.76,2.18,0.29,0.71,
227,Myles Hartsfield,Myles Hartsfield,CAR,25,DB,15,10,0,0,0,0,0.13,0.07,0,0,0,0,0,3.93,2.93,1,0.13,0.07,
228,T.J. Watt*,T.J. Watt,PIT,28,LB,10,10,0.2,0,0,0,0.5,0.1,0,0,0,0,0.55,3.9,2.7,1.2,0.8,1.2,
229,Donte Jackson,Donte Jackson,CAR,27,CB,9,9,0.22,3.33,0.11,30,0.33,,,,,0,0,3.89,3.56,0.33,0.11,0,
230,Patrick Peterson,Patrick Peterson,MIN,32,CB,17,17,0.29,5.35,0,39,0.88,,,,,0,0,3.88,3.29,0.59,0.18,0,
231,Kyle Hamilton,Kyle Hamilton,BAL,21,S,16,4,0,0,0,0,0.31,0.06,0,0,0,0,0.13,3.88,2.88,1,0.25,0.31,
232,Malik Hooker,Malik Hooker,DAL,26,S,16,6,0.19,1.81,0,26,0.19,0,0,1,38,1,0,3.88,2.75,1.13,0.13,0,
233,Uchenna Nwosu,Uchenna Nwosu,SEA,26,LB,17,17,0,0,0,0,0.24,0.18,0,2,4,0,0.56,3.88,2.47,1.41,0.71,1.53,
234,Nasir Adderley,Nasir Adderley,LAC,25,S,16,15,0.13,1.88,0,30,0.25,0.06,0,0,0,0,0,3.88,2.44,1.44,0.06,0,
235,Adrian Phillips,Adrian Phillips,NWE,30,DB,17,8,0,0,0,0,0.18,,,,,0,0,3.88,2.18,1.71,0.18,0.06,
236,Shaquil Barrett,Shaquil Barrett,TAM,30,OLB,8,8,,,0,,,0.13,0,0,0,0,0.38,3.88,2.5,1.38,0.75,0.75,
237,Danielle Hunter*,Danielle Hunter,MIN,28,OLB,17,17,0,0,0,0,0.18,0.06,0,0,0,0,0.62,3.82,2.71,1.12,0.71,1.29,
238,DeMarcus Lawrence*,DeMarcus Lawrence,DAL,30,DE,17,17,0,0,0,0,0.18,0.18,0,2,19,1,0.35,3.82,2.53,1.29,0.53,0.76,
239,Micah Parsons*+,Micah Parsons,DAL,23,LB,17,17,0,0,0,0,0.18,0.18,0,3,36,1,0.79,3.82,2.47,1.35,0.76,1.53,
240,Dane Jackson,Dane Jackson,BUF,26,CB,15,14,0.13,0.87,0,11,0.8,0.07,0,0,0,0,0,3.8,3.27,0.53,0.07,0,
241,Jamel Dean,Jamel Dean,TAM,26,CB,15,15,0.13,1.6,0,24,0.53,,,,,0,0,3.8,3,0.8,0.07,0,
242,Will Harris,Will Harris,DET,27,CB,15,10,0.07,0,0,0,0.27,0.07,0,1,0,0,0,3.8,2.93,0.87,0.13,0.07,
243,Denzel Ward,Denzel Ward,CLE,25,CB,14,14,0.21,0,0,0,1.07,0,0,2,4,2,0,3.79,3,0.79,0.07,0.07,
244,Daron Payne*,Daron Payne,WAS,25,DT,17,17,0,0,0,0,0.29,0,0,1,0,0,0.68,3.76,1.88,1.88,1.06,1.18,0.06
245,Myles Garrett*,Myles Garrett,CLE,27,DE,16,15,0,0,0,0,0.25,0.13,0,0,0,0,1,3.75,2.31,1.44,1.13,1.63,
246,Kwity Paye,Kwity Paye,IND,24,DE,12,12,,,0,,,0,0,1,0,0,0.5,3.75,2.67,1.08,0.83,0.83,
247,Leonard Williams,Leonard Williams,NYG,28,DL,12,12,,,0,,,0.08,0,2,0,0,0.21,3.75,2.17,1.58,0.42,1,
248,Martin Emerson,Martin Emerson,CLE,22,CB,17,6,0,0,0,0,0.88,,,,,0,0.06,3.71,3,0.71,0.06,0.06,
249,Michael Carter,Michael Carter,NYJ,23,CB,17,6,0.12,0,0,0,0.53,,,,,0,0,3.71,2.94,0.76,0.18,0,
250,Riq Woolen*,Riq Woolen,SEA,23,CB,17,17,0.35,2.76,0.06,40,0.94,0,0.06,3,8,0,0,3.71,2.71,1,0.06,0,
251,Keanu Neal,Keanu Neal,TAM,27,S,17,8,0.06,0,0,0,0.24,,,,,0,0.03,3.71,2.41,1.29,0.12,0.29,
252,Alex Highsmith,Alex Highsmith,PIT,25,LB,17,17,0,0,0,0,0.06,0.29,0,0,0,0,0.85,3.71,2.24,1.47,0.71,1.18,
253,E.J. Speed,E.J. Speed,IND,27,LB,17,5,0,0,0,0,0.12,0.12,0,0,0,0,0.06,3.71,2.18,1.53,0.41,0.06,
254,Tre'von Moehrig,Tre'von Moehrig,LVR,23,S,15,13,0,0,0,0,0.33,,,,,0,0,3.67,2.47,1.2,0.13,0,
255,Cornell Armstrong,Cornell Armstrong,ATL,27,DB,9,4,0,0,0,0,0.78,,,,,0,0,3.67,2.44,1.22,0,0,
256,Azeez Al-Shaair,Azeez Al-Shaair,SFO,25,LB,12,9,,,0,,,0,0,1,5,0,0,3.67,1.67,2,0.08,0.08,
257,AJ Parker,AJ Parker,DET,24,CB,3,0,,,0,,,,,,,0,0,3.67,3.33,0.33,0,0,
258,Shaquille Leonard,Shaquille Leonard,IND,27,LB,3,1,0.33,5,0,15,0.33,,,,,0,0,3.67,2.67,1,0,0,
259,Michael Davis,Michael Davis,LAC,27,CB,17,12,0.06,1.76,0,30,0.88,,,,,0,0.06,3.65,2.82,0.82,0.12,0.06,
260,Davon Godchaux,Davon Godchaux,NWE,28,DT,17,17,,,0,,,,,,,0,0.09,3.65,1.47,2.18,0.18,0.18,
261,Darnell Savage Jr.,Darnell Savage Jr.,GNB,25,S,16,13,0.06,4.69,0.06,75,0.31,0,0,1,2,0,0,3.63,2.69,0.94,0.13,0,
262,Marcus Peters,Marcus Peters,BAL,29,CB,13,13,0.08,0.62,0,8,0.46,0.15,0,2,0,0,0.08,3.62,2.69,0.92,0.15,0.08,
263,Dre'Mont Jones,Dre'Mont Jones,DEN,25,DE,13,13,,,0,,,0.08,0,0,0,0,0.5,3.62,1.85,1.77,0.69,0.77,
264,Zach Allen,Zach Allen,ARI,25,DE,13,13,0,0,0,0,0.62,,,,,0,0.42,3.62,1.77,1.85,0.77,1.54,
265,Jeffery Simmons*,Jeffery Simmons,TEN,25,DT,15,15,0,0,0,0,0.47,0.07,0,0,0,0,0.5,3.6,1.67,1.93,0.6,0.93,
266,Tashaun Gipson,Tashaun Gipson,SFO,32,S,17,17,0.29,8.29,0,56,0.47,,,,,0,0.03,3.59,2.53,1.06,0.06,0.06,
267,Jaelan Phillips,Jaelan Phillips,MIA,23,LB,17,15,0,0,0,0,0.12,0.06,0,2,0,0,0.41,3.59,2.18,1.41,0.47,1.47,
268,Grady Jarrett,Grady Jarrett,ATL,29,DL,17,17,0,0,0,0,0.18,,,,,0,0.35,3.59,1.76,1.82,0.71,1,
269,Julian Blackmon,Julian Blackmon,IND,24,S,14,11,0.07,1.21,0.07,17,0.14,0,0,1,34,0,0.07,3.57,2.57,1,0.14,0.07,
270,Rashan Gary,Rashan Gary,GNB,25,LB,9,9,0,0,0,0,0.11,0.11,0,1,0,0,0.67,3.56,2.33,1.22,0.78,1.33,
271,Terrance Mitchell,Terrance Mitchell,TEN,30,DB,11,5,0.09,0.09,0,1,0.36,0.09,0,0,0,0,0,3.55,2.82,0.73,0.09,0,
272,Alontae Taylor,Alontae Taylor,NOR,24,CB,13,9,0,0,0,0,0.85,,,,,0,0,3.54,3,0.54,0.08,0,
273,Patrick Surtain II*+,Patrick Surtain II,DEN,22,CB,17,17,0.12,-0.18,0,0,0.59,0.06,0,0,0,0,0,3.53,2.71,0.82,0.12,0.06,
274,Chandon Sullivan,Chandon Sullivan,MIN,26,CB,17,10,0,0,0,0,0.41,0,0,1,0,0,0,3.53,2.65,0.88,0.12,0.06,
275,Javon Hargrave,Javon Hargrave,PHI,29,DT,17,17,0,0,0,0,0.12,0.06,0,2,0,0,0.65,3.53,2.18,1.35,0.59,0.94,
276,Matt Judon*,Matt Judon,NWE,30,LB,17,15,0,0,0,0,0.18,0.12,0,1,1,0,0.91,3.53,2.12,1.41,0.82,1.65,
277,Jabrill Peppers,Jabrill Peppers,NWE,27,DB,17,5,,,0,,,0,0,1,12,0,0,3.53,2.06,1.47,0.12,0,
278,Jaire Alexander*,Jaire Alexander,GNB,25,CB,16,16,0.31,3.69,0,29,0.88,,,,,0,0,3.5,2.69,0.81,0.25,0,
279,Jerry Jacobs,Jerry Jacobs,DET,25,CB,12,8,0.08,3.17,0,38,0.67,,,,,0,0.08,3.5,3.08,0.42,0.33,0.08,
280,Benjamin St-Juste,Benjamin St-Juste,WAS,25,CB,12,12,0,0,0,0,0.58,0.08,0,0,0,0,0.17,3.5,2.83,0.67,0.17,0.25,
281,Anthony Brown,Anthony Brown,DAL,29,CB,12,12,0,0,0,0,0.58,0.08,0,0,0,0,0,3.5,2.75,0.75,0.08,0,
282,Kayvon Thibodeaux,Kayvon Thibodeaux,NYG,22,OLB,14,14,0,0,0,0,0.36,0.14,0,2,1,1,0.29,3.5,2.36,1.14,0.43,0.93,
283,Sebastian Joseph-Day,Sebastian Joseph-Day,LAC,27,DT,16,16,0.06,0.25,0,4,0.06,0.06,0,1,0,0,0.13,3.5,1.69,1.81,0.56,0.38,0.06
284,Nik Needham,Nik Needham,MIA,26,CB,6,5,0,0,0,0,0.33,,,,,0,0,3.5,2.33,1.17,0,0,
285,Jarrad Davis,Jarrad Davis,2TM,28,,4,1,0,0,0,0,0.25,,,,,0,0.13,3.5,1.75,1.75,0.25,0.25,
286,Reggie Ragland,Reggie Ragland,CLE,29,LB,4,2,,,0,,,,,,,0,0,3.5,1.75,1.75,0,0,
287,Micah Hyde,Micah Hyde,BUF,32,S,2,2,,,0,,,,,,,0,0,3.5,2,1.5,0,0,
288,Trevon Diggs*,Trevon Diggs,DAL,24,CB,17,17,0.18,0.59,0,7,0.82,0,0,1,17,0,0,3.47,2.94,0.53,0,0,
289,Steven Nelson,Steven Nelson,HOU,29,DB,15,15,0.07,2.2,0,33,0.47,0.07,0,0,0,0,0.07,3.47,2.6,0.87,0.07,0.07,
290,Arthur Maulet,Arthur Maulet,PIT,29,CB,17,6,0.06,0.71,0,12,0.18,0.06,0,0,0,0,0.12,3.47,2.24,1.24,0.12,0.12,
291,Preston Smith,Preston Smith,GNB,30,LB,17,17,0,0,0,0,0.06,0.06,0,0,0,0,0.5,3.47,2.24,1.24,0.53,1.18,
292,Micah McFadden,Micah McFadden,NYG,22,LB,17,7,,,0,,,0.06,0,0,0,0,0.12,3.47,2.12,1.35,0.35,0.12,
293,Deatrich Wise Jr.,Deatrich Wise Jr.,NWE,28,DL,17,16,0,0,0,0,0.18,0.12,0,0,0,0,0.44,3.47,1.94,1.53,0.41,0.65,
294,Leonard Floyd,Leonard Floyd,LAR,30,LB,17,17,,,0,,,0,0,1,0,0,0.53,3.47,1.82,1.65,0.59,1.29,
295,Luke Masterson,Luke Masterson,LVR,24,LB,17,7,,,0,,,,,,,0,0,3.47,1.76,1.71,0.24,0.06,
296,Harrison Phillips,Harrison Phillips,MIN,26,DL,17,17,0,0,0,0,0.06,0,0,1,0,0,0.09,3.47,1.65,1.82,0.18,0.35,
297,Tae Crowder,Tae Crowder,NYG,25,LB,13,8,0,0,0,0,0.08,0.08,0,0,0,0,0.08,3.46,2,1.46,0.23,0.15,
298,Quinnen Williams*+,Quinnen Williams,NYJ,25,DT,16,16,0,0,0,0,0.25,0.13,0,1,12,0,0.75,3.44,2.19,1.25,0.75,1.75,
299,Jonathon Cooper,Jonathon Cooper,DEN,24,OLB,14,9,,,0,,,,,,,0,0.14,3.43,1.64,1.79,0.14,0.5,
300,C.J. Henderson,C.J. Henderson,CAR,24,CB,17,10,0.12,4.35,0,54,0.35,0.06,0,1,0,0,0,3.41,2.94,0.47,0.12,0,
301,Alohi Gilman,Alohi Gilman,LAC,25,S,17,5,0.06,1.06,0,18,0.18,0.06,0,2,4,0,0,3.41,2.06,1.35,0,0,
302,Lorenzo Carter,Lorenzo Carter,ATL,27,OLB,17,17,0.06,1.65,0.06,28,0.12,0,0,1,0,0,0.24,3.41,1.71,1.71,0.35,0.71,
303,Reed Blankenship,Reed Blankenship,PHI,23,S,10,4,0.1,0.4,0,4,0.2,,,,,0,0,3.4,2,1.4,0,0,
304,AJ Terrell,AJ Terrell,ATL,24,CB,14,14,0,0,0,0,0.64,0,0.07,1,21,0,0,3.36,2.57,0.79,0.07,0,
305,Asante Samuel Jr.,Asante Samuel Jr.,LAC,23,CB,17,15,0.12,0.65,0,11,0.65,0,0,1,3,0,0,3.35,2.82,0.53,0.06,0,
306,Josh Allen,Josh Allen,JAX,25,OLB,17,17,0,0,0,0,0.12,0.24,0,2,38,1,0.41,3.35,2.06,1.29,0.65,1.29,
307,Tre'Davious White,Tre'Davious White,BUF,27,CB,6,6,0.17,0,0,0,1,,,,,0,0,3.33,2.67,0.67,0,0,
308,Carl Granderson,Carl Granderson,NOR,26,DE,16,4,,,0,,,0.06,0,1,0,0,0.34,3.31,1.88,1.44,0.56,0.56,
309,DaVon Hamilton,DaVon Hamilton,JAX,25,DT,17,14,0,0,0,0,0.06,0.06,0,1,0,0,0.15,3.29,1.59,1.71,0.29,0.35,
310,Lawrence Guy,Lawrence Guy,NWE,32,DL,14,14,,,0,,,,,,,0,0.14,3.29,1.29,2,0.21,0.36,
311,Nahshon Wright,Nahshon Wright,DAL,24,CB,7,2,0.14,0,0,0,0.57,,,,,0,0,3.29,2.43,0.86,0.14,0,
312,Eli Apple,Eli Apple,CIN,27,CB,15,15,0,0,0,0,0.53,,,,,0,0,3.27,2.33,0.93,0.07,0,
313,Travon Walker,Travon Walker,JAX,22,OLB,15,14,0.07,0.6,0,9,0.13,0.07,0,0,0,0,0.23,3.27,1.6,1.67,0.33,0.67,
314,Nick Vigil,Nick Vigil,ARI,29,LB,4,2,0,0,0,0,0.25,,,,,0,0,3.25,1.75,1.5,0.25,0,
315,Darius Slay*,Darius Slay,PHI,31,CB,17,17,0.18,1,0,19,0.82,,,,,0,0,3.24,2.35,0.88,0,0,
316,Dalvin Tomlinson,Dalvin Tomlinson,MIN,28,DL,13,13,,,0,,,0.08,0,1,0,0,0.19,3.23,1.54,1.69,0.23,0.77,
317,Kamu Grugier-Hill,Kamu Grugier-Hill,2TM,28,LB/OLB,15,6,0,0,0,0,0.07,,,,,0,0,3.2,2.53,0.67,0.07,0,
318,Levi Wallace,Levi Wallace,PIT,27,CB,15,9,0.27,0.4,0,3,0.87,,,,,0,0,3.2,2.2,1,0,0,
319,Nick Bosa*+,Nick Bosa,SFO,25,DE,16,16,0,0,0,0,0.06,0.13,0,0,0,0,1.16,3.19,2.56,0.63,1.19,3,
320,Mike Hughes,Mike Hughes,DET,25,CB,16,6,0,0,0,0,0.06,,,,,0,0,3.19,2.19,1,0.19,0.13,
321,DaRon Bland,DaRon Bland,DAL,23,CB,17,8,0.29,1.12,0,15,0.41,,,,,0,0,3.18,2.24,0.94,0.06,0.12,
322,Jaylon Johnson,Jaylon Johnson,CHI,23,DB,11,11,0,0,0,0,0.64,0.09,0,1,17,0,0,3.18,2.55,0.64,0.09,0,
323,Yetur Gross-Matos,Yetur Gross-Matos,CAR,24,DE,17,17,,,0,,,0,0.06,4,-2,0,0.15,3.18,1.06,2.12,0.29,0.59,
324,Kaiir Elam,Kaiir Elam,BUF,21,CB,13,6,0.15,0,0,0,0.31,,,,,0,0,3.15,2.23,0.92,0.08,0,
325,Amani Oruwariye,Amani Oruwariye,DET,26,CB,14,5,0,0,0,0,0.21,0,0,1,0,0,0,3.14,2.57,0.57,0.07,0,
326,K'Waun Williams,K'Waun Williams,DEN,31,CB,14,8,0.07,0,0,0,0.5,,,,,0,0.07,3.14,2.14,1,0.14,0.14,
327,Bryce Callahan,Bryce Callahan,LAC,31,CB,15,11,0.2,2.47,0.07,26,0.4,,,,,0,0,3.13,2.27,0.87,0.13,0.13,
328,Cory Littleton,Cory Littleton,CAR,29,LB,15,7,0,0,0,0,0.13,,,,,0,0.03,3.13,1.87,1.27,0.07,0.13,
329,Derrick Barnes,Derrick Barnes,DET,23,LB,15,4,0,0,0,0,0.07,,,,,0,0.07,3.13,1.8,1.33,0.2,0.07,
330,Darious Williams,Darious Williams,JAX,29,CB,17,12,0,0,0,0,0.94,,,,,0,0,3.12,2.06,1.06,0.12,0,
331,Kenny Clark,Kenny Clark,GNB,27,DL,17,17,,,0,,,0.06,0,1,0,0,0.24,3.12,1.59,1.53,0.29,0.59,
332,Jalen Mills,Jalen Mills,NWE,28,CB,10,10,0.2,2.8,0,15,0.5,,,,,0,0,3.1,2.6,0.5,0.1,0.1,
333,Kindle Vildor,Kindle Vildor,CHI,25,DB,11,9,0.09,1.64,0,18,0.45,,,,,0,0,3.09,1.91,1.18,0.18,0,
334,Ta'Quon Graham,Ta'Quon Graham,ATL,24,DL,11,9,,,0,,,0,0.09,1,19,0,0,3.09,1.36,1.73,0.09,0.73,
335,Isaiah Oliver,Isaiah Oliver,ATL,26,CB,12,5,0.08,2.25,0,27,0.58,,,,,0,0.08,3.08,2.08,1,0.25,0.17,
336,Nick McCloud,Nick McCloud,NYG,24,CB,14,8,0,0,0,0,0.5,,,,,0,0.11,3.07,2.5,0.57,0.14,0.14,
337,Jaylen Watson,Jaylen Watson,KAN,24,CB,16,6,0.06,6.19,0.06,99,0.38,,,,,0,0,3.06,2.31,0.75,0.19,0,
338,Kendall Fuller,Kendall Fuller,WAS,27,CB,17,17,0.18,3.88,0.12,37,0.76,,,,,0,0,3.06,2.12,0.94,0.06,0,
339,Aidan Hutchinson,Aidan Hutchinson,DET,22,DL,17,17,0.18,1.47,0,20,0.18,0,0,2,0,0,0.56,3.06,2,1.06,0.53,0.88,
340,Rodney Thomas II,Rodney Thomas II,IND,24,DB,17,10,0.24,3,0,35,0.35,,,,,0,0,3.06,2,1.06,0,0,
341,Jarran Reed,Jarran Reed,GNB,30,DT,17,14,,,0,,,0.06,0,2,0,0,0.15,3.06,1.71,1.35,0.29,0.82,
342,Justin Jones,Justin Jones,CHI,26,DL,17,17,0,0,0,0,0.24,0,0,1,0,0,0.18,3.06,1.65,1.41,0.71,0.41,
343,Xavien Howard*,Xavien Howard,MIA,29,CB,15,15,0.07,0,0,0,0.8,0,0,2,16,1,0,3,2.33,0.67,0.07,0,
344,Josh Sweat,Josh Sweat,PHI,25,DE,16,16,0.06,2.63,0.06,42,0.06,0.06,0,0,0,0,0.69,3,1.94,1.06,0.94,1.44,
345,Larry Ogunjobi,Larry Ogunjobi,PIT,28,DT,16,16,,,0,,,,,,,0,0.09,3,1.56,1.44,0.44,0.69,
346,Khalen Saunders,Khalen Saunders,KAN,26,DT,16,0,0,0,0,0,0.06,,,,,0,0.22,3,1.38,1.63,0.19,0.5,
347,J.C. Jackson,J.C. Jackson,LAC,27,CB,5,5,0,0,0,0,0.4,,,,,0,0,3,2.4,0.6,0,0,
348,Harrison Hand,Harrison Hand,CHI,24,DB,4,1,0,0,0,0,0.25,0.25,0,0,0,0,0,3,2.25,0.75,0,0,
349,Grant Haley,Grant Haley,LAR,26,DB,4,1,0,0,0,0,0.75,,,,,0,0,3,1.75,1.25,0,0,
350,Aaron Robinson,Aaron Robinson,NYG,25,CB,2,2,0,0,0,0,0.5,,,,,0,0,3,2.5,0.5,0,0,
351,Jamal Adams,Jamal Adams,SEA,27,SS,1,1,0,0,0,0,1,,,,,0,0,3,3,0,0,1,
352,Christian Covington,Christian Covington,LAC,29,DL,4,0,,,0,,,,,,,0,0,3,0.75,2.25,0.25,0,
