Rk,PFF Name,PFF Name Cleaned,Data Bowl Name,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
35,Tremaine Edmunds,Tremaine Edmunds,Tremaine Edmunds,BUF,23,MLB,15,15,0.07,0.27,0,4,0.27,,,,,0,0,7.2,4.67,2.53,0.47,0.07,
36,Myles Jack,Myles Jack,Myles Jack,JAX,26,RILB,15,15,,,0,,,,,,,0,0,7.2,4.13,3.07,0.2,0.13,
37,Christian Kirksey,Christian Kirksey,Christian Kirksey,HOU,29,MLB,13,12,0.08,0.08,0,1,0.62,0,0,2,-1,0,0,7.15,4.23,2.92,0.46,0.15,
38,Jalen Thompson,Jalen Thompson,#N/A,ARI,23,FS,17,12,0.18,2.88,0,33,0.41,,,,,0,0,7.12,4.65,2.47,0.18,0.12,
39,Jordan Fuller,Jordan Fuller,#N/A,LAR,23,SS,16,16,0.06,2.13,0,34,0.25,,,,,0,0,7.06,3.94,3.13,0.06,0,
40,Nick Bolton,Nick Bolton,Nick Bolton,KAN,21,RLB,16,12,0,0,0,0,0.19,0,0,1,86,1,0,7,4.38,2.63,0.69,0.19,
41,Joe Schobert,Joe Schobert,Joe Schobert,PIT,28,LILB,16,15,0.06,1.44,0,23,0.38,0.06,0,0,0,0,0,7,4.38,2.63,0.13,0.06,
42,Dre Greenlaw,Dre Greenlaw,Dre Greenlaw,SFO,24,LB,3,2,0.33,13,0.33,39,0.33,,,,,0,0,7,3.33,3.67,0,0.33,
43,Quincy Williams,Quincy Williams,Quincy Williams,NYJ,25,MLB,16,13,0,0,0,0,0.31,0.19,0,0,0,0,0.13,6.88,4.56,2.31,0.56,0.25,
44,Jordan Hicks,Jordan Hicks,Jordan Hicks,ARI,29,RILB,17,17,0,0,0,0,0.29,0.06,0,2,0,0,0.24,6.82,4.41,2.41,0.41,0.29,
45,Ja'Whaun Bentley,Ja'Whaun Bentley,Ja'Whaun Bentley,NWE,25,LILB,16,16,0,0,0,0,0.13,0.19,0,0,0,0,0.06,6.81,4.25,2.56,0.31,0.31,
46,Antoine Winfield Jr.*,Antoine Winfield Jr.,#N/A,TAM,23,SS,13,13,0.15,2.31,0,30,0.46,0.15,0,3,9,0,0.15,6.77,4.77,2,0.31,0.23,
47,Jeremy Chinn,Jeremy Chinn,#N/A,CAR,23,FS,16,16,0.06,0,0,0,0.31,0.06,0,1,16,0,0.06,6.69,4.69,2,0.38,0.31,
48,Zach Cunningham,Zach Cunningham,Zach Cunningham,2TM,27,LB/RLB,14,11,0,0,0,0,0.21,0.07,0,0,0,0,0,6.64,3.64,3,0.5,0.07,
49,Nasir Adderley,Nasir Adderley,#N/A,LAC,24,FS,15,15,0,0,0,0,0.33,0.07,0,1,0,0,0.03,6.6,4.6,2,0.2,0.13,
50,Demario Davis,Demario Davis,Demario Davis,NOR,32,MLB,16,16,0,0,0,0,0.44,,,,,0,0.19,6.56,4.38,2.19,0.81,0.63,
