Rk,PFF Name,PFF Name Cleaned,Data Bowl Name,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
145,Eric Murray,Eric Murray,#N/A,HOU,27,FS,16,11,0.06,0,0,0,0.25,,,,,0,0,4.75,3,1.75,0,0,
146,Rashaan Evans,Rashaan Evans,Rashaan Evans,TEN,26,RILB,12,11,0.17,0.08,0,1,0.17,0.08,0,1,0,0,0,4.75,2.92,1.83,0.25,0,
147,Justin Simmons,Justin Simmons,#N/A,DEN,28,FS,17,17,0.29,4.47,0,35,0.71,,,,,0,0.09,4.71,3.53,1.18,0.24,0.12,
148,Jaquiski Tartt,Jaquiski Tartt,#N/A,SFO,29,SS,14,14,0,0,0,0,0.07,,,,,0,0,4.71,3,1.71,0.36,0.07,
149,Bryce Hall,Bryce Hall,#N/A,NYJ,24,LCB,17,17,0,0,0,0,0.94,,,,,0,0.03,4.65,3.88,0.76,0.24,0.12,
150,Marcus Williams,Marcus Williams,#N/A,NOR,25,FS,16,16,0.13,3.5,0,53,0.5,0.06,0,0,0,0,0,4.63,3.25,1.38,0,0,
151,Nate Hobbs,Nate Hobbs,#N/A,LVR,22,DB,16,9,0.06,0.56,0,9,0.19,0.06,0,0,0,0,0.06,4.63,3.19,1.44,0.19,0.25,
152,Alex Highsmith,Alex Highsmith,Alex Highsmith,PIT,24,ROLB,16,16,,,0,,,0.06,0,0,0,0,0.38,4.63,2.88,1.75,0.94,0.94,
153,Brandon Stephens,Brandon Stephens,#N/A,BAL,24,FS,17,11,0,0,0,0,0.24,,,,,0,0,4.59,2.88,1.71,0.06,0.06,
154,Brandon Facyson,Brandon Facyson,#N/A,LVR,27,LCB,12,9,0.08,0,0,0,1.08,,,,,0,0,4.58,3.5,1.08,0.17,0.08,
155,Chidobe Awuzie,Chidobe Awuzie,#N/A,CIN,26,RCB,14,14,0.14,3,0,42,1,,,,,0,0,4.57,3.79,0.79,0.29,0,
156,Avonte Maddox,Avonte Maddox,#N/A,PHI,25,LB,16,5,0.06,-0.06,0,-1,0.56,0.13,0,0,0,0,0.03,4.56,3.31,1.25,0.31,0.19,
157,Davion Taylor,Davion Taylor,#N/A,PHI,23,RLB,9,6,,,0,,,0.22,0,0,0,0,0,4.56,2.67,1.89,0.11,0,
158,Leighton Vander Esch,Leighton Vander Esch,Leighton Vander Esch,DAL,25,RLB,17,16,0.06,0.41,0,7,0.12,,,,,0,0.06,4.53,2.82,1.71,0.24,0.06,
159,Brandin Echols,Brandin Echols,#N/A,NYJ,24,RCB,14,14,0.14,3.57,0.07,30,0.64,,,,,0,0,4.5,3.57,0.93,0.14,0,
160,Myles Hartsfield,Myles Hartsfield,#N/A,CAR,24,RDE,10,9,0,0,0,0,0.4,,,,,0,0.1,4.5,3,1.5,0.2,0.1,
161,Rodney McLeod,Rodney McLeod,#N/A,PHI,31,SS,13,13,0.15,1.85,0,24,0.31,,,,,0,0,4.46,2.46,2,0,0,
162,Anthony Brown,Anthony Brown,#N/A,DAL,28,RCB,16,16,0.19,2.81,0.06,45,1.06,0.06,0,0,0,0,0,4.44,3.69,0.75,0.06,0,
163,Josh Allen,Josh Allen,Josh Allen,JAX,24,LOLB,16,15,0.06,0.69,0,11,0.25,0.06,0,1,0,0,0.47,4.44,2.88,1.56,0.75,0.88,
164,Harold Landry*,Harold Landry,#N/A,TEN,25,ROLB,17,17,,,0,,,0.06,0,0,0,0,0.71,4.41,3,1.41,0.82,1.29,
165,Grant Delpit,Grant Delpit,#N/A,CLE,23,SS,15,7,0.07,0.33,0,5,0.2,0.07,0,0,0,0,0.07,4.4,2.87,1.53,0.2,0.07,
166,Micah Hyde,Micah Hyde,#N/A,BUF,31,FS,17,17,0.29,3.47,0.06,26,0.59,0.06,0,2,16,0,0.06,4.35,3.12,1.24,0.24,0.12,
167,Jevon Holland,Jevon Holland,#N/A,MIA,21,FS,16,13,0.13,0,0,0,0.63,0,0.13,3,3,0,0.16,4.31,3,1.31,0.19,0.44,
168,Terrance Mitchell,Terrance Mitchell,#N/A,HOU,29,RCB,14,13,0.07,1.57,0,22,0.71,0.21,0,0,0,0,0,4.29,3.21,1.07,0.07,0,
169,T.J. Watt*+,T.J. Watt,T.J. Watt,PIT,27,LOLB,15,15,0,0,0,0,0.47,0.33,0,3,1,0,1.5,4.27,3.2,1.07,1.4,2.6,
170,Dont'a Hightower,Dont'a Hightower,#N/A,NWE,31,ROLB,15,15,0,0,0,0,0.07,,,,,0,0.1,4.27,2.6,1.67,0.07,0.27,
171,Marshon Lattimore*,Marshon Lattimore,#N/A,NOR,25,RCB,16,16,0.19,2.19,0,20,1.19,0,0,1,1,0,0,4.25,3.44,0.81,0,0,
172,Haason Reddick,Haason Reddick,Haason Reddick,CAR,27,RLB,16,16,,,0,,,0.13,0,1,22,0,0.69,4.25,2.31,1.94,0.75,1.13,
173,Jacob Phillips,Jacob Phillips,Jacob Phillips,CLE,22,LB,4,1,0,0,0,0,0.75,,,,,0,0.25,4.25,3.25,1,0.5,0.25,
174,Austin Johnson,Austin Johnson,#N/A,NYG,27,RDE,17,17,0,0,0,0,0.06,0,0,1,0,0,0.21,4.24,1.82,2.41,0.35,0.41,
175,Dean Marlowe,Dean Marlowe,#N/A,DET,29,DB,16,9,0,0,0,0,0.13,0,0,1,0,0,0,4.19,2.31,1.88,0,0.13,
176,Andrew Van Ginkel,Andrew Van Ginkel,Andrew Van Ginkel,MIA,26,RLB,17,14,0,0,0,0,0.41,0.06,0,0,0,0,0.24,4.18,2.94,1.24,0.53,1.18,
177,Eric Rowe,Eric Rowe,#N/A,MIA,29,DB,17,4,0,0,0,0,0.24,0.18,0,0,0,0,0,4.18,2.53,1.65,0,0.06,
178,Kwon Alexander,Kwon Alexander,Kwon Alexander,NOR,27,LLB,12,8,0.08,0,0,0,0.17,0.08,0.08,1,8,0,0.29,4.17,3.25,0.92,0.58,0.58,
179,Baron Browning,Baron Browning,Baron Browning,DEN,22,LILB,14,9,0,0,0,0,0.14,,,,,0,0,4.14,2.29,1.86,0.14,0.07,
180,Sidney Jones,Sidney Jones,#N/A,SEA,25,LCB,16,11,0,0,0,0,0.63,,,,,0,0,4.13,2.81,1.31,0.06,0,
181,Kyle Van Noy,Kyle Van Noy,Kyle Van Noy,NWE,30,LILB,16,8,0.06,2.19,0.06,35,0.63,0.13,0,1,0,0,0.31,4.13,2.63,1.5,0.31,0.44,
182,Pete Werner,Pete Werner,Pete Werner,NOR,22,DB,15,8,,,0,,,,,,,0,0,4.13,2.4,1.73,0.27,0.07,
183,Leonard Floyd,Leonard Floyd,#N/A,LAR,29,RLB,17,17,0.06,0.65,0,11,0.18,0.06,0,1,0,0,0.56,4.12,2.18,1.94,0.41,1.06,
184,Troy Hill,Troy Hill,#N/A,CLE,30,DB,12,4,0,0,0,0,0.08,,,,,0,0.17,4.08,2.83,1.25,0.58,0.25,
185,Amani Oruwariye,Amani Oruwariye,#N/A,DET,25,RCB,14,14,0.43,5.21,0,50,0.79,0,0,1,0,0,0,4.07,3.14,0.93,0.14,0,
186,John Johnson,John Johnson,#N/A,CLE,26,FS,15,15,0.2,2.07,0,31,0.33,0.07,0,0,0,0,0.03,4.07,2.47,1.6,0.07,0.13,
187,Ernest Jones,Ernest Jones,Ernest Jones,LAR,22,MLB,15,7,0.13,3.33,0,31,0.27,,,,,0,0.07,4.07,2.4,1.67,0.07,0.2,
188,Linval Joseph,Linval Joseph,#N/A,LAC,33,NT,14,12,,,0,,,,,,,0,0.07,4.07,2.14,1.93,0.21,0.14,
189,Byron Murphy,Byron Murphy,#N/A,ARI,23,LCB,16,16,0.25,3.06,0.06,29,0.75,0.06,0,1,0,0,0.03,4,3.06,0.94,0,0.06,
190,DeForest Buckner*,DeForest Buckner,#N/A,IND,27,LDT,17,16,0,0,0,0,0.18,,,,,0,0.41,4,2.35,1.65,0.59,1.06,
191,Robert Spillane,Robert Spillane,Robert Spillane,PIT,26,LB,14,4,,,0,,,,,,,0,0,4,2.07,1.93,0.14,0,
192,Willie Gay Jr.,Willie Gay Jr.,Willie Gay,KAN,23,LLB,12,11,0.17,1.17,0,13,0.33,,,,,0,0.04,4,2.17,1.83,0.08,0.08,
193,Trayvon Mullen,Trayvon Mullen,#N/A,LVR,24,LCB,5,5,0.2,3,0,15,0.8,,,,,0,0,4,3.4,0.6,0,0,
194,Josey Jewell,Josey Jewell,Josey Jewell,DEN,27,LB,2,2,0,0,0,0,0.5,0.5,0,0,0,0,0,4,3.5,0.5,1,0,
195,Jeff Okudah,Jeff Okudah,#N/A,DET,22,CB,1,1,0,0,0,0,1,,,,,0,0,4,3,1,0,0,
196,Nickell Robey-Coleman,Nickell Robey-Coleman,#N/A,DET,29,DB,1,0,,,0,,,,,,,0,0,4,3,1,0,0,
197,Braxton Hoyett,Braxton Hoyett,#N/A,NOR,25,DT,1,0,,,0,,,,,,,0,0,4,2,2,1,0,
198,Duron Harmon,Duron Harmon,#N/A,ATL,30,FS,17,17,0.12,0,0,0,0.29,,,,,0,0,3.94,2.59,1.35,0.12,0.06,
199,Derrick Barnes,Derrick Barnes,Derrick Barnes,DET,22,LB,17,6,0,0,0,0,0.12,,,,,0,0.12,3.94,2.47,1.47,0.24,0.12,
200,Reggie Ragland,Reggie Ragland,#N/A,NYG,28,LOLB,17,9,0,0,0,0,0.12,0,0,1,0,0,0,3.94,2.24,1.71,0.12,0.06,
201,A'Shawn Robinson,A'Shawn Robinson,#N/A,LAR,26,LDE,17,14,,,0,,,0.12,0,0,0,0,0.12,3.94,1.94,2,0.12,0.12,
202,Javon Hargrave*,Javon Hargrave,#N/A,PHI,28,LDT,16,16,0,0,0,0,0.06,0.06,0,0,0,0,0.47,3.94,1.69,2.25,0.56,1.13,
203,Lonnie Johnson Jr.,Lonnie Johnson Jr.,#N/A,HOU,26,DB,14,7,0.21,3.36,0,32,0.43,,,,,0,0,3.93,2.71,1.21,0,0,
204,Tashaun Gipson,Tashaun Gipson,#N/A,CHI,31,SS,12,12,0.17,2.58,0,31,0.25,0,0,1,13,0,0.08,3.92,2.75,1.17,0.08,0.08,
205,DeAndre Houston-Carson,DeAndre Houston-Carson,#N/A,CHI,28,DB,13,3,0.08,0,0,0,0.31,0,0,2,25,1,0,3.92,2.54,1.38,0,0,
206,Carlton Davis,Carlton Davis,#N/A,TAM,25,RCB,10,10,0.1,2.5,0,25,1.1,0,0,1,0,0,0,3.9,3.3,0.6,0.2,0,
207,Paulson Adebo,Paulson Adebo,#N/A,NOR,22,LCB,17,17,0.18,2.94,0,33,0.47,,,,,0,0,3.88,3.24,0.65,0.24,0,
208,Mike Hilton,Mike Hilton,#N/A,CIN,27,DB,17,9,0.12,3.47,0.06,35,0.29,0.06,0,0,0,0,0,3.88,2.82,1.06,0.47,0.12,
209,Elijah Molden,Elijah Molden,#N/A,TEN,22,DB,16,7,0.06,0.13,0.06,2,0.25,0.06,0,1,0,0,0,3.88,2.69,1.19,0.19,0.06,
210,Marcus Epps,Marcus Epps,#N/A,PHI,25,DB,16,3,0.06,0,0,0,0.31,,,,,0,0,3.88,2.44,1.44,0,0,
211,Julian Love,Julian Love,#N/A,NYG,23,DB,17,5,0.06,0,0,0,0.41,0,0,1,-3,0,0.03,3.88,2.12,1.76,0.06,0.12,
212,Sam Hubbard,Sam Hubbard,#N/A,CIN,26,LDE,16,16,0,0,0,0,0.19,0.06,0,2,43,0,0.47,3.88,2.06,1.81,0.75,1.06,
213,Anthony Averett,Anthony Averett,#N/A,BAL,27,LCB,14,14,0.21,1.5,0,21,0.79,,,,,0,0,3.86,3.29,0.57,0,0,
214,Michael Davis,Michael Davis,#N/A,LAC,26,LCB,14,14,0.07,0,0,0,0.86,0,0,2,36,0,0,3.86,3,0.86,0.07,0,
215,Jackrabbit Jenkins,Jackrabbit Jenkins,#N/A,TEN,33,LCB,14,13,0.07,0,0,0,0.43,0.07,0,0,0,0,0,3.86,2.71,1.14,0,0,
216,AJ Parker,AJ Parker,#N/A,DET,23,DB,13,7,0.08,0,0,0,0.54,0.08,0,0,0,0,0,3.85,3,0.85,0.08,0,
217,C.J. Gardner-Johnson,C.J. Gardner-Johnson,#N/A,NOR,24,RLB,12,11,0.25,3.75,0,26,0.58,,,,,0,0.17,3.83,2.67,1.17,0.33,0.33,
218,DeShon Elliott,DeShon Elliott,#N/A,BAL,24,FS,6,6,0.17,0,0,0,0.33,,,,,0,0.17,3.83,3.17,0.67,0.5,0.5,
219,Shawn Williams,Shawn Williams,#N/A,ATL,30,DB,6,2,,,0,,,,,,,0,0,3.83,2.17,1.67,0,0,
220,Charles Harris,Charles Harris,Charles Harris,DET,26,ROLB,17,14,,,0,,,0.12,0,0,0,0,0.44,3.82,2,1.82,0.59,0.94,
221,Emmanuel Moseley,Emmanuel Moseley,#N/A,SFO,25,LCB,11,11,0.09,0,0,0,1,0,0,1,0,0,0,3.82,3,0.82,0.18,0,
222,Davon Godchaux,Davon Godchaux,#N/A,NWE,27,NT,17,16,,,0,,,0.06,0,0,0,0,0.06,3.82,1.88,1.94,0.12,0.29,
223,Alohi Gilman,Alohi Gilman,#N/A,LAC,24,S,11,3,0.09,0,0,0,0.09,,,,,0,0,3.82,2.55,1.27,0,0,
224,Jourdan Lewis,Jourdan Lewis,#N/A,DAL,26,DB,16,13,0.19,5.5,0,66,0.69,0.06,0,2,10,0,0.09,3.81,2.94,0.88,0.06,0.19,
225,Fabian Moreau,Fabian Moreau,#N/A,ATL,27,RCB,16,16,0,0,0,0,0.69,0,0,1,0,0,0,3.81,2.75,1.06,0.19,0,
226,Jaylon Smith,Jaylon Smith,Jaylon Smith,3TM,26,LB,10,4,0,0,0,0,0.1,,,,,0,0.1,3.8,2.6,1.2,0.1,0.1,
227,Danny Trevathan,Danny Trevathan,#N/A,CHI,31,LB,5,1,,,0,,,,,,,0,0,3.8,1.6,2.2,0.2,0,
228,Cameron Dantzler,Cameron Dantzler,#N/A,MIN,23,LCB,14,7,0.07,0,0,0,0.57,0.07,0,0,0,0,0,3.79,3.14,0.64,0,0,
229,Juan Thornhill,Juan Thornhill,#N/A,KAN,26,FS,17,12,0.06,0.76,0,13,0.18,0.06,0,1,0,0,0,3.76,2.53,1.24,0.06,0.06,
230,Tre'Davious White,Tre'Davious White,#N/A,BUF,26,LCB,11,11,0.09,0,0,0,0.55,0.09,0,1,0,0,0.05,3.73,2.45,1.27,0.09,0.09,
231,Darnell Savage Jr.,Darnell Savage Jr.,#N/A,GNB,24,FS,17,17,0.12,0,0,0,0.53,,,,,0,0,3.71,2.82,0.88,0.12,0,
232,Bobby McCain,Bobby McCain,#N/A,WAS,28,FS,17,16,0.24,3.71,0.06,30,0.53,,,,,0,0,3.71,2.76,0.94,0,0,
233,K'Waun Williams,K'Waun Williams,#N/A,SFO,30,DB,14,8,0.07,0.29,0,4,0.29,0.07,0,0,0,0,0.07,3.71,2.86,0.86,0.36,0.14,
234,Arik Armstead,Arik Armstead,#N/A,SFO,28,LDT/LDE,17,17,,,0,,,,,,,0,0.35,3.71,1.71,2,0.41,0.65,
235,Duke Shelley,Duke Shelley,#N/A,CHI,25,DB,10,4,0,0,0,0,0.3,,,,,0,0,3.7,3,0.7,0,0,
236,Cameron Jordan*,Cameron Jordan,#N/A,NOR,32,LDE,16,16,0,0,0,0,0.38,0.13,0,0,0,0,0.78,3.69,2.38,1.31,0.81,1.38,
237,Zach Sieler,Zach Sieler,#N/A,MIA,26,RDT,17,9,0,0,0,0,0.18,0.06,0,2,0,0,0.12,3.65,1.94,1.71,0.35,0.18,
238,Jonathan Allen*,Jonathan Allen,#N/A,WAS,26,LDT,17,17,,,0,,,,,,,0,0.53,3.65,1.82,1.82,0.59,1.76,
239,Harrison Phillips,Harrison Phillips,#N/A,BUF,25,RDT,14,8,0,0,0,0,0.07,0,0,1,0,0,0.07,3.64,2,1.64,0.29,0.43,
240,Byron Jones,Byron Jones,#N/A,MIA,29,LCB,16,16,0,0,0,0,0.63,0.06,0,0,0,0,0,3.63,2.94,0.69,0,0,
241,Patrick Surtain II,Patrick Surtain II,#N/A,DEN,21,LCB/RCB,16,15,0.25,4.38,0.06,70,0.88,,,,,0,0,3.63,2.81,0.81,0.06,0,
242,M.J. Stewart,M.J. Stewart,#N/A,CLE,26,DB,13,3,0,0,0,0,0.31,0.08,0,0,0,0,0,3.62,2.62,1,0.15,0,
243,Monty Rice,Monty Rice,#N/A,TEN,22,LB,10,4,0,0,0,0,0.1,,,,,0,0,3.6,1.7,1.9,0,0.1,
244,Daron Payne,Daron Payne,#N/A,WAS,24,RDT,17,17,,,0,,,0,0,1,6,0,0.26,3.59,2.06,1.53,0.35,0.88,
245,Asante Samuel Jr.,Asante Samuel Jr.,#N/A,LAC,22,RCB,12,12,0.17,2.17,0,26,0.92,,,,,0,0,3.58,2.75,0.83,0.08,0,
246,Lorenzo Carter,Lorenzo Carter,Lorenzo Carter,NYG,26,LILB,14,14,0.07,0.07,0,1,0.36,0.14,0,1,0,0,0.36,3.57,2,1.57,0.43,0.57,
247,Marcus Davenport,Marcus Davenport,#N/A,NOR,25,RDE,11,9,,,0,,,0.27,0,1,1,0,0.82,3.55,2.09,1.45,0.82,1.45,
248,Jonas Griffith,Jonas Griffith,Jonas Griffith,DEN,24,LB,13,4,,,0,,,0,0,1,0,0,0,3.54,1.69,1.85,0.31,0.15,
249,Jamel Dean,Jamel Dean,#N/A,TAM,25,LCB,15,11,0.13,0.4,0,6,0.6,,,,,0,0,3.53,2.93,0.6,0.13,0,
250,Devin McCourty,Devin McCourty,#N/A,NWE,34,FS,17,17,0.18,1.29,0,22,0.59,,,,,0,0,3.53,2.47,1.06,0,0,
251,Rudy Ford,Rudy Ford,#N/A,JAX,27,DB,15,4,0.07,0.53,0,8,0.2,,,,,0,0.03,3.53,2.6,0.93,0.07,0.13,
252,Matt Judon*,Matt Judon,Matt Judon,NWE,29,LOLB,17,16,0,0,0,0,0.06,0,0,1,-6,0,0.74,3.53,2.24,1.29,0.82,1.47,
253,Lawrence Guy,Lawrence Guy,#N/A,NWE,31,RDE,17,17,,,0,,,0,0,1,0,0,0.09,3.53,2.18,1.35,0.12,0.29,
254,Neville Hewitt,Neville Hewitt,Neville Hewitt,HOU,28,MLB,17,5,,,0,,,,,,,0,0,3.53,2.18,1.35,0.06,0.06,
255,Quinnen Williams,Quinnen Williams,#N/A,NYJ,24,LDT,15,15,0,0,0,0,0.2,,,,,0,0.4,3.53,2.4,1.13,0.47,0.8,
256,Rashad Fenton,Rashad Fenton,#N/A,KAN,24,LCB,14,8,0,0,0,0,0.5,0.07,0,0,0,0,0,3.5,2.79,0.71,0,0,
257,Shaquill Griffin,Shaquill Griffin,#N/A,JAX,26,LCB,14,14,0,0,0,0,0.5,0.07,0,0,0,0,0,3.5,2.57,0.93,0,0.14,
258,Ronald Blair,Ronald Blair,#N/A,NYJ,28,DE,8,3,,,0,,,0,0,1,0,0,0.13,3.5,1.5,2,0.5,0.5,
259,Nik Needham,Nik Needham,#N/A,MIA,25,DB,17,5,0.12,1.65,0.06,28,0.29,0,0,1,0,0,0.06,3.47,2.82,0.65,0.06,0.12,
260,Grady Jarrett,Grady Jarrett,#N/A,ATL,28,LDE,17,17,0,0,0,0,0.06,0,0,1,0,0,0.06,3.47,2.24,1.24,0.18,0.71,
261,Tyus Bowser,Tyus Bowser,Tyus Bowser,BAL,26,ROLB/LILB,17,17,0,0,0,0,0.24,0.12,0,0,0,0,0.41,3.47,1.94,1.53,0.47,0.88,
262,Patrick Peterson,Patrick Peterson,#N/A,MIN,31,LCB,13,13,0.08,5.08,0.08,66,0.38,,,,,0,0,3.46,2.62,0.85,0.15,0,
263,Eric Stokes,Eric Stokes,#N/A,GNB,22,LCB/RCB,16,14,0.06,0,0,0,0.88,,,,,0,0,3.44,2.69,0.75,0,0,
264,Marco Wilson,Marco Wilson,#N/A,ARI,22,RCB,14,13,0,0,0,0,0.29,0.14,0,0,0,0,0,3.43,2.86,0.57,0.07,0,
265,Trey Flowers,Trey Flowers,Trey Flowers,DET,28,LOLB,7,7,,,0,,,0.14,0,1,0,0,0.21,3.43,2.14,1.29,0.14,0.43,
266,Myles Bryant,Myles Bryant,#N/A,NWE,23,CB,12,2,0.08,2.75,0,33,0.25,0.08,0,0,0,0,0.08,3.42,2.33,1.08,0.17,0.17,
267,Levi Wallace,Levi Wallace,#N/A,BUF,26,RCB,17,17,0.12,1.71,0,15,0.59,0,0,1,0,0,0,3.41,2.76,0.65,0.06,0,
268,J.C. Jackson*,J.C. Jackson,#N/A,NWE,26,LCB,17,17,0.47,5.41,0.06,88,1.35,0.06,0,0,0,0,0,3.41,2.59,0.82,0.12,0,
269,Shaquil Barrett*,Shaquil Barrett,Shaquil Barrett,TAM,29,ROLB,15,15,0.07,0.2,0,3,0.27,0.2,0.07,2,2,0,0.67,3.4,2.47,0.93,0.6,1.47,
270,Malcolm Smith,Malcolm Smith,#N/A,CLE,32,MLB,15,6,0.13,0.07,0,1,0.33,,,,,0,0,3.4,2.13,1.27,0.2,0,
271,Chris Wormley,Chris Wormley,#N/A,PIT,28,LDE,15,14,0,0,0,0,0.2,0.07,0,0,0,0,0.47,3.4,1.93,1.47,0.4,0.67,
272,Dexter Lawrence,Dexter Lawrence,#N/A,NYG,24,LDE,16,10,0,0,0,0,0.13,0.06,0,0,0,0,0.16,3.38,1.69,1.69,0.31,0.69,
273,Justin Jones,Justin Jones,#N/A,LAC,25,RDE,11,11,0,0,0,0,0.09,0,0,2,0,0,0.27,3.36,1.73,1.64,0.45,0.45,
274,Ben Niemann,Ben Niemann,Ben Niemann,KAN,26,LB,17,5,0,0,0,0,0.06,0,0,2,0,0,0.06,3.35,2.29,1.06,0.12,0.06,
275,Malcom Brown,Malcom Brown,#N/A,JAX,27,NT,17,17,0,0,0,0,0.06,,,,,0,0.12,3.35,1.76,1.59,0.24,0.18,
276,Von Miller,Von Miller,Von Miller,2TM,32,LOLB/RDE,15,15,0,0,0,0,0.07,0.07,0,0,0,0,0.63,3.33,2.2,1.13,1.27,1.13,
277,Andrew Sendejo,Andrew Sendejo,#N/A,IND,34,FS,12,10,0,0,0,0,0.17,0.08,0,1,0,0,0,3.33,2.42,0.92,0.17,0,
278,Joe Bachie,Joe Bachie,Joe Bachie,CIN,23,LB,9,2,0,0,0,0,0.11,,,,,0,0,3.33,2,1.33,0,0,
279,Jonathan Jones,Jonathan Jones,#N/A,NWE,28,DB,6,1,0.17,0,0,0,0.5,,,,,0,0,3.33,2.5,0.83,0,0,
280,Jonathan Harris,Jonathan Harris,#N/A,DEN,25,DT,3,0,,,0,,,,,,,0,0,3.33,2.33,1,0,0.33,
281,D.J. Jones,D.J. Jones,#N/A,SFO,26,RDT,17,17,0,0,0,0,0.06,0.12,0,0,0,0,0.12,3.29,2.35,0.94,0.59,0.18,
282,Maxx Crosby*,Maxx Crosby,#N/A,LVR,24,RDE,17,17,0,0,0,0,0.41,,,,,0,0.47,3.29,2.12,1.18,0.76,1.76,
283,Mike Edwards,Mike Edwards,#N/A,TAM,25,DB,14,4,0.21,3.29,0.14,31,0.5,0.07,0,0,0,0,0,3.29,2.43,0.86,0.07,0,
284,Eric Wilson,Eric Wilson,Eric Wilson,2TM,27,LB,14,2,0.07,0.5,0,7,0.07,,,,,0,0,3.29,1.43,1.86,0.07,0.07,
285,Josh Norman,Josh Norman,#N/A,SFO,34,RCB,15,14,0.07,2.67,0,40,0.33,0.47,0,0,0,0,0,3.27,2.4,0.87,0.2,0,
286,Calais Campbell,Calais Campbell,#N/A,BAL,35,RDE/LDE,15,14,0,0,0,0,0.07,0,0,1,0,0,0.1,3.27,1.93,1.33,0.33,0.8,
287,Cameron Sutton,Cameron Sutton,#N/A,PIT,26,RCB,16,16,0.13,0.25,0,4,0.38,0.06,0,0,0,0,0,3.25,2.75,0.5,0.25,0,
288,Trevon Diggs*+,Trevon Diggs,#N/A,DAL,23,LCB,16,16,0.69,8.88,0.13,59,1.31,,,,,0,0,3.25,2.69,0.56,0,0,
289,Darius Slay*,Darius Slay,#N/A,PHI,30,RCB,16,16,0.19,4.5,0.06,51,0.56,0,0,2,116,2,0,3.25,2.5,0.75,0.31,0,
290,William Jackson III,William Jackson III,#N/A,WAS,29,RCB,12,12,0.17,0,0,0,0.67,,,,,0,0,3.25,3,0.25,0,0,
291,C.J. Henderson,C.J. Henderson,#N/A,2TM,23,CB/RCB,12,7,0,0,0,0,0.17,,,,,0,0,3.25,2.58,0.67,0.08,0,
292,Christian Covington,Christian Covington,#N/A,LAC,28,DT,16,3,,,0,,,0.06,0,0,0,0,0.06,3.25,1.88,1.38,0.19,0.06,
293,Michael Brockers,Michael Brockers,#N/A,DET,31,LDE,16,16,,,0,,,,,,,0,0.06,3.25,1.44,1.81,0.25,0.06,
294,Jaire Alexander,Jaire Alexander,#N/A,GNB,24,DB,4,4,0.25,7.5,0,30,0.75,,,,,0,0,3.25,2.25,1,0,0,
295,Thomas Graham,Thomas Graham,#N/A,CHI,22,DB,4,1,0,0,0,0,1,,,,,0,0,3.25,1.5,1.75,0.25,0,
296,George Odum,George Odum,#N/A,IND,28,SS,17,7,0.06,1.24,0,21,0.12,0.06,0,1,0,0,0,3.24,2.65,0.59,0,0.06,
297,Tre'von Moehrig,Tre'von Moehrig,#N/A,LVR,22,FS,17,17,0.06,2.06,0,35,0.35,,,,,0,0,3.24,2.12,1.12,0,0,
298,Greg Gaines,Greg Gaines,#N/A,LAR,25,RDT,17,13,,,0,,,,,,,0,0.26,3.24,1.65,1.59,0.24,0.76,
299,Donovan Wilson,Donovan Wilson,#N/A,DAL,26,DB,9,3,0,0,0,0,0.11,,,,,0,0,3.22,1.89,1.33,0,0.11,
300,Zach Allen,Zach Allen,#N/A,ARI,24,RDE,15,14,0.07,1.67,0,25,0.27,0,0,3,27,1,0.27,3.2,2,1.2,0.33,0.93,
301,Sean Chandler,Sean Chandler,#N/A,CAR,25,SS,15,7,0,0,0,0,0.07,0.07,0,0,0,0,0,3.2,1.8,1.4,0,0.07,
302,Kyle Fuller,Kyle Fuller,#N/A,DEN,29,LCB,16,10,0,0,0,0,0.25,,,,,0,0,3.19,2.5,0.69,0.19,0,
303,Joey Bosa*,Joey Bosa,Joey Bosa,LAC,26,LOLB,16,16,,,0,,,0.44,0,0,0,0,0.66,3.19,2.25,0.94,0.31,1.25,
304,Mackensie Alexander,Mackensie Alexander,#N/A,MIN,28,RLB,16,5,0,0,0,0,0.31,,,,,0,0,3.19,2.06,1.13,0.06,0,
305,Jerry Tillery,Jerry Tillery,#N/A,LAC,25,LDE,16,15,,,0,,,,,,,0,0.28,3.19,1.5,1.69,0.38,0.88,
306,Ugo Amadi,Ugo Amadi,#N/A,SEA,24,DB,17,7,0.06,0.71,0,12,0.35,0.06,0.06,0,0,0,0,3.18,2.47,0.71,0.12,0,
307,Jeffery Simmons*,Jeffery Simmons,#N/A,TEN,24,RDE,17,17,0,0,0,0,0.35,,,,,0,0.5,3.18,2.47,0.71,0.71,0.94,
308,Joe Haden,Joe Haden,#N/A,PIT,32,LCB,12,11,0,0,0,0,0.5,0.08,0,1,0,0,0,3.17,2.17,1,0,0,
309,Xavien Howard*,Xavien Howard,#N/A,MIA,28,RCB,16,16,0.31,3.38,0.06,37,1,0.13,0,2,51,1,0.06,3.13,2.44,0.69,0,0.06,
310,Steven Nelson,Steven Nelson,#N/A,PHI,28,LCB,16,16,0.06,0.25,0,4,0.44,,,,,0,0,3.13,2.13,1,0,0,
311,B.J. Hill,B.J. Hill,#N/A,CIN,26,DT,16,2,,,0,,,,,,,0,0.34,3.13,1.81,1.31,0.38,0.75,
